# Group GEMM benchmark — MoE shapes with uniform M (balanced routing)
# Format: num_ops, M, K, N, iters, src_dt:wei_dt:dst_dt, is_weights_const, warmup
#
# ── Mixtral 8x7B (8 experts) ────────────────────────────────────────────
8, 1, 4096, 14336, 200, bf16:bf16:bf16, true, 50
8, 1, 14336, 4096, 200, bf16:bf16:bf16, true, 50
8, 2, 4096, 14336, 200, bf16:bf16:bf16, true, 50
8, 2, 14336, 4096, 200, bf16:bf16:bf16, true, 50
8, 4, 4096, 14336, 200, bf16:bf16:bf16, true, 50
8, 4, 14336, 4096, 200, bf16:bf16:bf16, true, 50
8, 8, 4096, 14336, 200, bf16:bf16:bf16, true, 50
8, 8, 14336, 4096, 200, bf16:bf16:bf16, true, 50
8, 16, 4096, 14336, 200, bf16:bf16:bf16, true, 50
8, 16, 14336, 4096, 200, bf16:bf16:bf16, true, 50
8, 128, 4096, 14336, 200, bf16:bf16:bf16, true, 50
8, 128, 14336, 4096, 200, bf16:bf16:bf16, true, 50
#
# ── Qwen2-MoE (4 active experts) ────────────────────────────────────────
4, 1, 2048, 5632, 200, bf16:bf16:bf16, true, 50
4, 1, 5632, 2048, 200, bf16:bf16:bf16, true, 50
4, 4, 2048, 5632, 200, bf16:bf16:bf16, true, 50
4, 4, 5632, 2048, 200, bf16:bf16:bf16, true, 50
4, 8, 2048, 5632, 200, bf16:bf16:bf16, true, 50
4, 8, 5632, 2048, 200, bf16:bf16:bf16, true, 50
4, 16, 2048, 5632, 200, bf16:bf16:bf16, true, 50
4, 16, 5632, 2048, 200, bf16:bf16:bf16, true, 50
#
# ── Scaling expert count: Mixtral shape ──────────────────────────────────
16, 1, 4096, 14336, 200, bf16:bf16:bf16, true, 50
16, 4, 4096, 14336, 200, bf16:bf16:bf16, true, 50
16, 8, 4096, 14336, 200, bf16:bf16:bf16, true, 50
32, 1, 4096, 14336, 200, bf16:bf16:bf16, true, 50
32, 4, 4096, 14336, 200, bf16:bf16:bf16, true, 50
32, 8, 4096, 14336, 200, bf16:bf16:bf16, true, 50
64, 1, 4096, 14336, 200, bf16:bf16:bf16, true, 50
64, 4, 4096, 14336, 200, bf16:bf16:bf16, true, 50
64, 8, 4096, 14336, 200, bf16:bf16:bf16, true, 50
128, 1, 4096, 14336, 200, bf16:bf16:bf16, true, 50
128, 4, 4096, 14336, 200, bf16:bf16:bf16, true, 50
128, 8, 4096, 14336, 200, bf16:bf16:bf16, true, 50
#
# ── Scaling expert count: Qwen2 shape ────────────────────────────────────
16, 1, 2048, 5632, 200, bf16:bf16:bf16, true, 50
16, 4, 2048, 5632, 200, bf16:bf16:bf16, true, 50
16, 8, 2048, 5632, 200, bf16:bf16:bf16, true, 50
32, 1, 2048, 5632, 200, bf16:bf16:bf16, true, 50
32, 4, 2048, 5632, 200, bf16:bf16:bf16, true, 50
32, 8, 2048, 5632, 200, bf16:bf16:bf16, true, 50
64, 1, 2048, 5632, 200, bf16:bf16:bf16, true, 50
64, 4, 2048, 5632, 200, bf16:bf16:bf16, true, 50
64, 8, 2048, 5632, 200, bf16:bf16:bf16, true, 50
128, 1, 2048, 5632, 200, bf16:bf16:bf16, true, 50
128, 4, 2048, 5632, 200, bf16:bf16:bf16, true, 50
128, 8, 2048, 5632, 200, bf16:bf16:bf16, true, 50
